nhom_bds_lon,nhom_bds,loai_bds,quan_huyen,ten_duong,dia_chi,gia(ty),trieu/m2,dien_tich(m2),ngang (m),doc (m),huong,phap_ly,so_tang,so_phong_ngu,so_wc,tieu_de,nguon
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Hoàng Văn Thụ,Đường ôtô 20 m - Hoàng Văn Thụ - 67 m² - ngang 5,2.99,44.62686567164179,67.0,5.1,13.0,Chưa xác định,Đang cập nhật,5,2,1,"Bán nhà cách đường ôtô 20 m - Hoàng Văn Thụ - 67 m² - ngang 5,13 m - 1,5 tầng2 tỷ xxx",https://alonhadat.com.vn/-ban-nha-cach-duong-oto-20m-hoang-van-thu-67m2-ngang-5-13m-1-5-tang-2-ty-xxx-18284410.html
Đất,Đất nền/Đất ở,Đất nền/liền kề/đất dự án,Huyện Phù Cát,Không rõ,"Đường huyết mạnh kết nối sân bay hôm nay central avenue quy nhon ""lá bài tẩy"" của nhà đầu tư cuối năm 🔑 các điểm mạnh quan trọng nhất tác động đến thành công của việc đầu tư đều hội tụ đầy đủ tại central avenue quy nhon. 💎 vị trí tâm điểm: 👉 nằm trên...... << xem chi tiết >> 14 m giá: 2",2.2,22.0,100.0,5.0,20.0,Nam,Đang cập nhật,0,0,0,"Chính thức mở bán dự án central avenue cát tiến, tuyến đường huyết mạnh kết nối sân bay",https://alonhadat.com.vn/chinh-thuc-mo-ban-du-an-central-avenue-cat-tien-tuyen-duong-huyet-manh-ket-noi-san-bay-12239072.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Không rõ,Không rõ,1.7,27.419354838709676,62.0,0.0,0.0,Chưa xác định,Sổ hồng,19,2,2,"Sang nhượng lại căn hộ calla giá thấp hơn cđt 1,7 tỷ trả góp ( thấp hơn cđt 300tr)",https://alonhadat.com.vn/sang-nhuong-lai-can-ho-calla-gia-thap-hon-cdt-1-9x-ty-tra-gop-thap-hon-cdt-300tr--12266668.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Nguyễn Tất Thành,Đường Nguyễn Tất Thành hôm nay 🏢 bán nhà 3 mê – 2 mặt tiền trước sau đường Nguyễn Tất Thành 📍 vị trí đắc địa thuộc phường quy nhơn,14.3,160.67415730337078,89.0,4.2,22.0,Chưa xác định,Đang cập nhật,3,4,3,Bán nhà 3 mê – 2 mặt tiền trước sau đường Nguyễn Tất Thành,https://alonhadat.com.vn/-ban-nha-3-me-2-mat-tien-truoc-sau-duong-nguyen-tat-thanh-18291809.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Không rõ,Không rõ,1.3,21.666666666666668,60.0,0.0,0.0,Chưa xác định,Đang cập nhật,29,2,2,"Calla apartment quy nhơn, ngay big c, bến xe qn - căn hộ sân vườn duy nhất tại thành phố biển qn",https://alonhadat.com.vn/calla-apartment-quy-nhon-can-ho-san-vuon-duy-nhat-tai-tp-bien-quy-nhon-chi-200-trieu-so-10765924.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Võ Nguyên Giáp,Đường Võ Nguyên Giáp,1.15,18.548387096774192,62.0,0.0,0.0,Chưa xác định,Đang cập nhật,9,2,2,"Bán căn hộ an phú thịnh grand tower 2pn - hướng đn. giá 1,230 tỷ (nh cho vay 900tr) - full",https://alonhadat.com.vn/ban-can-ho-an-phu-thinh-grand-tower-2pn-huong-dn-moi-100-gia-1-ty-nh-cho-vay-700tr--13407408.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,La Văn Tiến,Đường La Văn Tiến,2.5,47.16981132075472,53.0,3.6,15.0,Chưa xác định,Đang cập nhật,3,3,3,Bán nhà 3 mê mới khu gềnh ráng cách biển 200 m hẻm 3 m La Văn Tiến. 53 m² giá 2tỷ5,https://alonhadat.com.vn/ban-nha-3-me-moi-khu-genh-rang-cach-bien-200m-hem-3m-la-van-tien-53m2-gia-2ty550-18620961.html
Đất,Đất nền/Đất ở,Đất nền/liền kề/đất dự án,Thành phố Quy Nhơn,Không rõ,Không rõ,2.8,28.0,100.0,5.0,20.0,Nam,Đang cập nhật,0,0,0,"Bán đất diện tích 100 m² khu a2,khu đô thị mới Long Vân,phường Trần Quang Diệu, thành phố quy nhơn, b",https://alonhadat.com.vn/-ban-dat-dt-100m2-khu-a2-khu-do-thi-moi-long-van-phuong-tran-quang-dieu-tp-quy-nhon-b-18585661.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Trần Quang Diệu,Đường Trần Quang Diệu 67 m² và 75 m² hôm nay bán nhà mặt tiền đường Trần Quang Diệu 👉 căn 1: nhà 1 mê kiên cố ( cũ theo thời gian) diện tích: 75 m² ngang 3,6.0,89.55223880597015,67.0,3.6,18.9,Đông,Đang cập nhật,2,2,3,Bán nhà mặt tiền đường Trần Quang Diệu 67 m² và 75 m²,https://alonhadat.com.vn/ban-nha-4-tang-mat-tien-duong-nguyen-xuan-on-gan-thi-sach-44m2-16941537.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Nguyễn Thái Học,Đường Nguyễn Thái Học,1.76,48.888888888888886,36.0,4.0,12.0,Chưa xác định,Đang cập nhật,2,2,3,"Bán căn nhà hẻm cạn đường Nguyễn Thái Học, phường quy nhơn, tỉnh gia lai. giá chỉ 1,76 tỉ",https://alonhadat.com.vn/ban-can-nha-hem-can-duong-nguyen-thai-hoc-phuong-quy-nhon-tinh-gia-lai-gia-chi-1-76-ti-17627539.html
Đất,Đất nền/Đất ở,Đất nền/liền kề/đất dự án,Thành phố Quy Nhơn,Không rõ,Không rõ,1.3,16.25,80.0,4.0,20.0,Tây,Đang cập nhật,0,0,0,"Bán đất xã nhơn lý, thành phố quy nhơn, tỉnh bình định",https://alonhadat.com.vn/ban-dat-xa-nhon-ly-thanh-pho-quy-nhon-tinh-binh-dinh-14286892.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Bạch Đằng,Đường Bạch Đằng vị trí gần chợ đầm gần Trần Hưng Đạo,4.2,100.0,42.0,6.0,7.0,Chưa xác định,Đang cập nhật,3,3,3,"Bán nhà 3 tầng mặt tiền Bạch Đằng. diện tích đất 42 m² ngang 4,2 m nở hậu giá 4tỷ 200 triệu",https://alonhadat.com.vn/ban-nha-3-tang-mat-tien-bach-dang-dien-tich-dat-42m2-ngang-4-2m-no-hau-gia-4ty-200-trieu-18287754.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Lê Đức Thọ,Đường Lê Đức Thọ,1.78,24.72222222222222,72.0,0.0,0.0,Chưa xác định,Đang cập nhật,1,2,2,"Bán lỗ sâu, căn hộ phú tài, 2pn giá cực tốt",https://alonhadat.com.vn/ban-lo-sau-can-ho-phu-tai-2pn-gia-cuc-tot-13741499.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Ngô Đức Đệ,Đường Ngô Đức Đệ,3.65,82.95454545454545,44.0,4.0,11.0,Tây,Đang cập nhật,3,3,3,"Bán nhà 3,5 mê – hẻm 1 xẹt Ngô Đức Đệ – gần biển",https://alonhadat.com.vn/-ban-nha-3-5-me-hem-1-xet-ngo-duc-de-gan-bien--18434929.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Hoàng Văn Thụ,Đường Hoàng Văn Thụ,1.25,35.714285714285715,35.0,5.0,7.0,Tây,Đang cập nhật,25,2,2,"Chuyển nhượng căn hộ phú tài central life giá từ 1,25ty/căn",https://alonhadat.com.vn/chuyen-nhuong-can-ho-phu-tai-central-life-gia-tu-1-25ty-can-17973855.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Thành phố Quy Nhơn,Không rõ,Đường rộng: 14 m,3.25,52.41935483870968,62.0,4.0,15.5,Tây,Đang cập nhật,0,0,0,"Bán đất khu cầu 2 hà thanh, diện tích: 62 m², 68 m² giá từ 3,25ty",https://alonhadat.com.vn/ban-dat-khu-cau-2-ha-thanh-dien-tich-62m2-68m2-gia-tu-3-25ty-18679644.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Thành phố Quy Nhơn,Nguyễn Diêu,Đường Nguyễn Diêu,2.95,33.52272727272727,88.0,5.0,17.5,Chưa xác định,Đang cập nhật,0,0,0,"Bán lô đất mặt tiền đường Nguyễn Diêu, thành phố quy nhơn. diện tích 88 m²: 2,95tỉ",https://alonhadat.com.vn/ban-can-nha-phuong-nhon-binh-thanh-pho-quy-nhon-gia-cuc-tot--15078064.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Điện Biên Phủ,Đường Điện Biên Phủ - 1,0.94,20.88888888888889,45.0,0.0,0.0,Chưa xác định,Sổ hồng,15,5,2,"Bán căn hộ thương mại ecolife riverside đường Điện Biên Phủ - 1,5 phòng ngủ, 940tr- sổ lâu dài",https://alonhadat.com.vn/ban-can-ho-thuong-mai-ecolife-riverside-duong-dien-bien-phu-64-5m2-2-pn-2wc-12321357.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Chương Dương,Đường Chương Dương,1.5,32.608695652173914,46.0,0.0,0.0,Đông,HĐMB,31,2,2,Sang nhượng căn melody tầng cao -wiew biển giá lỗ gần 600 triệu so với giá hđmb,https://alonhadat.com.vn/sang-nhuong-can-melody-tang-cao-wiew-bien-gia-lo-gan-600-trieu-so-voi-gia-hdmb-16147666.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Hoàng Văn Thụ,Đường Hoàng Văn Thụ giao với Lý Thái Tổ - diện tích 70 m²,1.25,17.857142857142858,70.0,7.0,10.0,Tây,Đang cập nhật,20,2,2,Quỹ căn sang nhượng chung cư xuân thuỷ lock c mới,https://alonhadat.com.vn/quy-can-sang-nhuong-chung-cu-xuan-thuy-lock-c-moi-17300317.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Trần Hưng Đạo,Đường Trần Hưng Đạo,2.2,33.84615384615385,65.0,0.0,0.0,Chưa xác định,Sổ hồng,20,2,2,"Cần bán căn hộ quy nhơn chuyên cho thuê du lịch trên booking, agoda",https://alonhadat.com.vn/can-ban-can-ho-quy-nhon-chuyen-cho-thue-du-lich-tren-booking-agoda-18330598.html
Đất,Đất nền/Đất ở,Đất nền/liền kề/đất dự án,Thành phố Quy Nhơn,Không rõ,Không rõ,2.85,28.5,100.0,5.0,20.0,Nam,Đang cập nhật,0,0,0,"Cần bán gấp lô đất diện tích 100 m² khu đô thị mới Long Vân,phường Trần Quang Diệu, thành phố quy nhơn,",https://alonhadat.com.vn/-can-ban-gap-lo-dat-dt-100m2-khu-do-thi-moi-long-van-phuong-tran-quang-dieu-tp-quy-nhon--16906443.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Tô Hiến Thành,Đường Tô Hiến Thành. . nhà 3 mê nguyên,5.2,59.770114942528735,87.0,4.0,22.0,Đông,Đang cập nhật,3,4,3,"Bán nhà 3 mê nội bộ oto Tô Hiến Thành có phòng ngủ dưới. 87 m² ngang 5 m giá 5,2tỷ",https://alonhadat.com.vn/ban-nha-3-me-noi-bo-oto-to-hien-thanh-co-phong-ngu-duoi-87m2-ngang-5m-gia-5-2ty-18188712.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Hoàng Văn Thụ,Đường Hoàng Văn Thụ – trung tâm thành phố. quy nhơn kết cấu căn hộ: – 2 phòng ngủ – 2 toilet – phòng khách + bếp – ban công view công viên thoáng mát tầng 8 – cao vừa đẹp,1.25,19.23076923076923,65.0,0.0,0.0,Chưa xác định,Đang cập nhật,8,2,2,"Sổ sẵn - chủ bán nhanh chung cư xuân thuỷ ( Hoàng Văn Thụ) giá 1,25 tỷ",https://alonhadat.com.vn/so-san-chu-ban-nhanh-chung-cu-xuan-thuy-hoang-van-thu-gia-1-15-ty-18242694.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Trần Hưng Đạo,Đường Trần Hưng Đạo,1.9,29.23076923076923,65.0,0.0,0.0,Tây,Sổ hồng,16,2,2,"Quỹ căn hộ altara residence siêu víp. giá 1,9 - 2,150 tỷ/căn 2pn, 2wc. tầng cao view biển",https://alonhadat.com.vn/cat-lo-can-ho-2-phong-ngu-view-bien-tang-cao-du-an-altara-residencen-quy-nhon-16332639.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Nguyễn Tất Thành,Đường Nguyễn Tất Thành 49 m²,2.85,71.25,40.0,4.0,10.0,Chưa xác định,Đang cập nhật,3,2,3,"Bán nhà mặt tiền đường Nguyễn Tất Thành 49 m², 95 m² và 89 m²",https://alonhadat.com.vn/ban-2-can-nha-mat-tien-duong-nguyen-tat-thanh-dt-39m2-va-59m2-huong-tay-nam-8115468.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Không rõ,Không rõ,1.47,34.18604651162791,43.0,0.0,0.0,Chưa xác định,Đang cập nhật,15,1,2,"Bán căn hộ merryhome - marina district - merryland quy nhơn, 1,47 tỷ.. căn hộ view biển",https://alonhadat.com.vn/ban-can-ho-merryhome-marina-district-merryland-quy-nhon-1-27-ty-can-ho-view-bien-13183587.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Huyện Phù Cát,Không rõ,Không rõ,2.6,17.333333333333332,150.0,6.5,20.0,Bắc,Đang cập nhật,0,0,0,"Bán đất khu phố phương phi, thị trấn cát tiến, diện tích 149,5 m²..",https://alonhadat.com.vn/ban-dat-khu-pho-phuong-phi-thi-tran-cat-tien-dien-tich-149-5m2--14450996.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Nguyễn Thái Học,Đường Nguyễn Thái Học,2.68,58.26086956521739,46.0,4.5,13.0,Đông,Đang cập nhật,1,3,2,Nhà hẻm Nguyễn Thái Học tren 2ty phuong qui nhơn nam,https://alonhadat.com.vn/nha-hem-nguyen-thai-hoc-tren-2ty-phuong-qui-nhon-nam-18313448.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Thành phố Quy Nhơn,Không rõ,Đường trục chính xuống biển. giá cực tốt. hôm nay bán lô đất biển nhơn hải - quy nhơn. thông tin chi tiết sang phiếu lô đất biển nhơn hải - quy nhơn - diện tích 67 m²,2.1,31.34328358208955,67.0,4.0,16.8,Chưa xác định,Đang cập nhật,0,0,0,Bán lô đất biển nhơn hải - quy nhơn. vị trí đường trục chính xuống biển. giá cực tốt.,https://alonhadat.com.vn/ban-lo-dat-bien-nhon-hai-quy-nhon-vi-tri-duong-truc-chinh-xuong-bien-gia-cuc-tot--18539823.html
Nhà,Biệt thự/Nhà liền kề,"Biệt thự, nhà liền kề",Thành phố Quy Nhơn,Số 5,Đường Số 5,15.0,75.0,200.0,9.8,20.0,Đông,Đang cập nhật,3,6,4,"Biệt thự sân vườn hiện đại,hồ cá koi khu biệt thự thành phố quy nhơn",https://alonhadat.com.vn/biet-thu-san-vuon-hien-dai-ho-ca-koi-khu-biet-thu-tp-quy-nhon-17780595.html
Nhà,Biệt thự/Nhà liền kề,"Biệt thự, nhà liền kề",Thành phố Quy Nhơn,Long Vân,Đường Long Vân - long mỹ rộng 42 m 24/05/2026 𝐑𝐚 𝐦𝐚̆́𝐭 𝐍𝐡𝐚̀ 𝐏𝐡𝐨̂́ 𝐭𝐡𝐮̛𝐨̛𝐧𝐠 𝐦𝐚̣𝐢 𝟒,4.6,46.0,100.0,5.0,20.0,Chưa xác định,Đang cập nhật,5,6,4,"Ra mắt nhà phố 4,5 tầng ngay thị trấn thành phố quy nhơn, mặt tiền đường Long Vân - long mỹ rộng 42 m",https://alonhadat.com.vn/ra-mat-nha-pho-4-5-tang-ngay-tt-tp-quy-nhon-mat-tien-duong-long-van-long-my-rong-42m-16600633.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Thành phố Quy Nhơn,Không rõ,Không rõ,6.5,30.660377358490567,212.0,11.0,19.0,Chưa xác định,Đang cập nhật,0,0,0,Bán lô góc - đất biển nhơn lý - quy nhơn,https://alonhadat.com.vn/ban-lo-goc-dat-bien-nhon-ly-quy-nhon-18456408.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Không rõ,Đường oto khu gara quyền – gần chung cư lamer & khu liên kề phú gia • vị trí: khu gara quyền,3.45,30.263157894736842,114.0,4.5,13.0,Đông,Đang cập nhật,1,2,3,"Bán nhà nội bộ oto khu Tây Sơn,qui nhơn",https://alonhadat.com.vn/ban-nha-noi-bo-oto-khu-tay-son-qui-nhon-18452378.html
Đất,Đất nền/Đất ở,Đất nền/liền kề/đất dự án,Huyện Tuy Phước,Không rõ,Không rõ,0.98,11.529411764705882,85.0,5.0,17.0,Bắc,Đang cập nhật,0,0,0,"Bán đất diện tích 85 m2 an cửu,phước hưng tuy phước bình định",https://alonhadat.com.vn/ban-dat-dt-95m2-an-cuu-phuoc-hung-tuy-phuoc-binh-dinh-12873037.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Đinh Bộ Lĩnh,Đường Đinh Bộ Lĩnh,0.9,16.666666666666668,54.0,0.0,0.0,Chưa xác định,Đang cập nhật,15,2,1,Bán & cho thuê căn hộ nam ngân (phường hải cảng) - 2pn - cho thuê 5tr/th- giá bán 900tr,https://alonhadat.com.vn/ban-cho-thue-can-ho-nam-ngan-phuong-hai-cang-2pn-cho-thue-5tr-th-gia-ban-900tr-13444541.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Hoàng Văn Thụ,Đường Hoàng Văn Thụ 45 m²,4.55,101.11111111111111,45.0,4.5,10.0,Đông,Đang cập nhật,3,3,3,"Bán căn nhà mặt tiền đường Hoàng Văn Thụ 45 m², 115 m², 138 m² và 202 m²",https://alonhadat.com.vn/ban-nha-me-lo-ba-gac-can-duong-tay-son-66m2-huong-dong-nam-8130480.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Thành phố Quy Nhơn,Không rõ,Không rõ,2.0,19.047619047619047,105.0,5.0,21.0,Đông,Sổ đỏ,0,0,0,"Bán đất biển nhơn lý eo gió kỳ co, lô đất diện tích 105 m² giá chỉ 2tỷ.",https://alonhadat.com.vn/ban-dat-bien-nhon-ly-eo-gio-ky-co-lo-dat-dt-105m2-gia-chi-2ty--18554791.html
Nhà,Biệt thự/Nhà liền kề,"Biệt thự, nhà liền kề",Thành phố Quy Nhơn,Đặng Thùy Trâm,Đường Đặng Thùy Trâm,13.0,64.35643564356435,202.0,8.5,24.0,Chưa xác định,Đang cập nhật,3,5,4,"Bán biệt thự Ghềnh Ráng gần Đặng Thùy Trâm, cách biển 500 m. diện tích 202 m² ngang 8.5 m giá 13 tỷ",https://alonhadat.com.vn/ban-biet-thu-ghenh-rang-gan-dang-thuy-tram-cach-bien-500m-dt-202m2-ngang-8-5m-gia-13-ty-18580635.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Phan Thúc Trực,Đường Phan Thúc Trực,2.65,60.22727272727273,44.0,4.0,11.0,Chưa xác định,Sổ đỏ,3,3,3,"(rẻ) bán nhanh 2 lô liền kề chỉ 2ty xx, mặt tiền Phan Thúc Trực lộ giới 14 m quy nhơn",https://alonhadat.com.vn/-ngon-re-ban-nha-mat-tien-kinh-doanh-nguyen-thai-hoc-quy-nhon-149m-chi-14tyx-sam-uat-17994508.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Nguyễn Diêu,Đường Nguyễn Diêu,0.8,13.333333333333334,60.0,0.0,0.0,Chưa xác định,Sổ hồng,12,2,1,Cần bán căn hộ noxh eco home nhơn bình 2pn 800 triệu full nội thất,https://alonhadat.com.vn/can-ban-can-ho-noxh-eco-home-nhon-binh-2pn-800-trieu-full-noi-that-12267764.html
Nhà,Nhà riêng/Trong hẻm,Nhà trong hẻm,Thành phố Quy Nhơn,Trần Hưng Đạo,Đường Trần Hưng Đạo 20 m. tttp. quy nhơn. phường quy nhơn. - diện tích 50 m² ngang 7 m. - hẻm 3m5. hướng đông nam - hiện trạng nhà 1 mê kiêng cố đầy đủ công năng. - giá chỉ 3 tỷ 200.⭐️ alo:...... << xem chi tiết >> 4m1 tầng2 phòng ngủ giá: 3,3.2,64.0,50.0,4.5,13.0,Đông,Đang cập nhật,1,2,3,"Nhà hẻm Trần Hưng Đạo, phường qui nhơn",https://alonhadat.com.vn/nha-hem-tran-hung-dao-phuong-qui-nhon-17913980.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Thành phố Quy Nhơn,Điện Biên Phủ,Đường Điện Biên Phủ,9.0,47.87234042553192,188.0,7.5,25.0,Chưa xác định,Đang cập nhật,0,0,0,"Bán đất mặt tiền đường Điện Biên Phủ, trục đường sầm uất bậc nhất. diện tích 188 m². giá tố",https://alonhadat.com.vn/ban-dat-mat-tien-duong-dien-bien-phu-truc-duong-sam-uat-bac-nhat-dien-tich-188m2-gia-to-17685550.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Lê Đức Thọ,Đường Lê Đức Thọ,2.0,22.988505747126435,87.0,0.0,0.0,Đông,Đang cập nhật,9,3,2,"Bán căn hộ phú tài residence - 3 phòng ngủ, tặng toàn bộ nội thất",https://alonhadat.com.vn/ban-can-ho-phu-tai-residence-3-phong-ngu-tang-toan-bo-noi-that-17377678.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,An Dương Vương,Đường An Dương Vương,1.45,32.22222222222222,45.0,0.0,0.0,Chưa xác định,Đang cập nhật,8,1,1,"Chủ kẹt tiền bán nhanh căn flc sea tower view biển 1,45 tỷ,",https://alonhadat.com.vn/chu-ket-tien-ban-nhanh-can-flc-sea-tower-view-bien-1-4x-ty-so-lau-dai-12239343.html
Nhà,Nhà mặt phố/Kinh doanh,Nhà mặt tiền,Thành phố Quy Nhơn,Không rõ,Không rõ,3.8,95.0,40.0,4.0,10.0,Chưa xác định,Đang cập nhật,3,3,3,"Bán nhà 3 mê mặt tiền giá 3 tỷ 8x, phường quy nhơn hà thanh Đống Đa, diện tích:",https://alonhadat.com.vn/ban-nha-3-me-mat-tien-gia-3-ty-xxz-phuong-quy-nhon-ha-thanh-dong-da-dt--18086046.html
